k	Fonction	Dist	tpsExe	Trajet	Iter
1	f2	1421.686874981409	0.26726100000001907	[8 9 0 3 2 1 5 6 4 7]	289
1	f1	1421.686874981409	0.12060900000000174	[8 9 0 3 2 1 5 6 4 7]	173
1	f3	2802.84454004106	0.12633500000004005	[3 4 1 6 9 0 7 5 2 8]	499
1	f2	1421.6868749814093	0.12145100000003595	[5 1 2 3 0 9 8 7 4 6]	175
1	f1	1421.6868749814091	0.12116900000000896	[7 8 9 0 3 2 1 5 6 4]	239
1	f3	2055.9834734188844	0.12562800000000607	[4 8 3 2 9 7 6 1 5 0]	499
1	f2	1632.9153184670415	0.10964899999999034	[4 6 5 1 0 8 9 2 3 7]	369
1	f1	1421.6868749814091	0.110904000000005	[9 8 7 4 6 5 1 2 3 0]	110
1	f3	2067.968477473094	0.1160340000000133	[1 2 3 5 6 4 0 7 9 8]	499
1	f2	1421.6868749814093	0.10807199999999284	[5 1 2 3 0 9 8 7 4 6]	226
1	f1	1421.686874981409	0.10800900000003821	[9 0 3 2 1 5 6 4 7 8]	181
1	f3	1937.7608798576284	0.11377299999998058	[8 5 6 1 2 3 0 9 4 7]	499
1	f2	1421.6868749814091	0.11199200000004339	[2 1 5 6 4 7 8 9 0 3]	58
1	f1	1421.6868749814091	0.10985099999999193	[3 0 9 8 7 4 6 5 1 2]	245
1	f3	3102.0203256730215	0.11656900000002679	[2 9 6 3 4 8 5 7 1 0]	499
1	f2	1421.6868749814091	0.1249180000000365	[1 2 3 0 9 8 7 4 6 5]	141
1	f1	1421.686874981409	0.12264399999997977	[9 0 3 2 1 5 6 4 7 8]	65
1	f3	2446.741276603904	0.12528000000003203	[5 0 3 4 6 1 7 8 2 9]	499
1	f2	1421.686874981409	0.11682899999999563	[8 9 0 3 2 1 5 6 4 7]	94
1	f1	1421.6868749814093	0.11170000000004165	[4 7 8 9 0 3 2 1 5 6]	38
1	f3	2987.937535033593	0.11704199999996945	[8 3 7 6 9 2 4 5 0 1]	499
1	f2	1421.6868749814091	0.10875199999998131	[7 8 9 0 3 2 1 5 6 4]	204
1	f1	1421.6868749814091	0.10813199999995504	[6 4 7 8 9 0 3 2 1 5]	272
1	f3	1729.4142564537856	0.11382899999995288	[1 6 3 2 9 0 8 7 4 5]	499
1	f2	1421.6868749814091	0.1104050000000143	[5 6 4 7 8 9 0 3 2 1]	189
1	f1	1421.6868749814091	0.10967799999997396	[8 7 4 6 5 1 2 3 0 9]	156
1	f3	2556.415205680962	0.11308700000000727	[6 0 9 8 2 4 3 7 1 5]	499
1	f2	1708.0788963491614	0.11546600000002627	[3 2 1 5 0 9 8 7 4 6]	27
1	f1	1421.6868749814091	0.11972900000000664	[4 6 5 1 2 3 0 9 8 7]	84
1	f3	3260.322368118631	0.12721499999997832	[8 1 4 3 0 7 2 6 9 5]	499
1	f2	1632.9153184670413	0.11572899999998754	[8 0 1 5 6 4 7 3 2 9]	89
1	f1	1421.6868749814091	0.10915199999999459	[9 8 7 4 6 5 1 2 3 0]	19
1	f3	2795.83622190988	0.11770699999999579	[5 8 9 1 3 7 2 6 4 0]	499
1	f2	1421.6868749814091	0.1114210000000071	[6 4 7 8 9 0 3 2 1 5]	215
1	f1	1421.6868749814091	0.11048199999999042	[5 6 4 7 8 9 0 3 2 1]	199
1	f3	2514.853953424117	0.11500100000000657	[4 1 5 0 8 6 3 2 7 9]	499
1	f2	1421.6868749814091	0.10922799999997324	[8 7 4 6 5 1 2 3 0 9]	365
1	f1	1421.686874981409	0.10841400000003887	[8 9 0 3 2 1 5 6 4 7]	263
1	f3	1970.598236197582	0.11386699999997063	[1 5 7 8 9 4 6 0 3 2]	492
1	f2	1421.6868749814091	0.11555000000004156	[0 9 8 7 4 6 5 1 2 3]	332
1	f1	1421.6868749814091	0.11911499999996522	[8 7 4 6 5 1 2 3 0 9]	268
1	f3	2392.358829372674	0.1264730000000327	[2 0 3 7 4 1 9 8 6 5]	499
1	f2	1421.6868749814093	0.12383199999999306	[4 7 8 9 0 3 2 1 5 6]	111
1	f1	1421.6868749814091	0.12040000000001783	[0 9 8 7 4 6 5 1 2 3]	112
1	f3	2177.086439229512	0.12698199999999815	[2 3 9 8 6 1 0 4 7 5]	495
1	f2	1421.6868749814091	0.1159359999999765	[3 2 1 5 6 4 7 8 9 0]	81
1	f1	1421.6868749814091	0.11492699999996603	[7 8 9 0 3 2 1 5 6 4]	250
1	f3	2251.943271257777	0.11944600000003902	[1 4 7 0 6 8 2 3 9 5]	498
1	f2	1421.6868749814091	0.11555800000002137	[3 2 1 5 6 4 7 8 9 0]	112
1	f1	1632.9153184670415	0.11444399999999177	[7 3 2 9 8 0 1 5 6 4]	64
1	f3	3040.0996280832833	0.1162310000000275	[4 1 7 3 0 8 6 2 5 9]	499
1	f2	1421.6868749814091	0.11044600000002447	[7 8 9 0 3 2 1 5 6 4]	225
1	f1	1421.6868749814091	0.1117800000000102	[6 5 1 2 3 0 9 8 7 4]	362
1	f3	1883.208034563453	0.11565300000000889	[2 3 5 1 0 8 6 4 7 9]	497
1	f2	1708.0788963491614	0.12301300000001447	[4 7 8 9 0 5 1 2 3 6]	99
1	f1	1421.6868749814091	0.11209400000001324	[3 2 1 5 6 4 7 8 9 0]	109
1	f3	2480.807657142166	0.11630399999995689	[1 3 6 2 9 8 0 5 7 4]	499
1	f2	1421.6868749814091	0.10984700000000203	[5 6 4 7 8 9 0 3 2 1]	293
1	f1	1421.6868749814091	0.11260499999997364	[0 9 8 7 4 6 5 1 2 3]	62
1	f3	2936.6632821376256	0.11600600000002714	[9 5 0 2 7 1 6 3 8 4]	499
1	f2	1421.686874981409	0.10905300000001716	[9 0 3 2 1 5 6 4 7 8]	201
1	f1	1421.6868749814091	0.10898500000001832	[2 3 0 9 8 7 4 6 5 1]	160
1	f3	1913.9981817922128	0.11617300000000341	[9 6 4 7 8 0 3 2 5 1]	497
1	f2	1421.6868749814091	0.10967399999998406	[2 1 5 6 4 7 8 9 0 3]	306
1	f1	1421.6868749814091	0.12095200000004525	[6 5 1 2 3 0 9 8 7 4]	261
1	f3	2571.920216265881	0.1258760000000052	[8 4 9 6 2 1 5 0 3 7]	499
1	f2	1421.6868749814091	0.12126999999998134	[7 8 9 0 3 2 1 5 6 4]	70
1	f1	1421.6868749814091	0.1204050000000052	[9 8 7 4 6 5 1 2 3 0]	147
1	f3	1421.6868749814091	0.12654399999996713	[3 2 1 5 6 4 7 8 9 0]	493
1	f2	1421.686874981409	0.12239399999998568	[9 0 3 2 1 5 6 4 7 8]	91
1	f1	1421.6868749814091	0.11963600000001406	[4 6 5 1 2 3 0 9 8 7]	40
1	f3	2387.422192426985	0.12511699999998882	[3 0 8 7 5 6 2 1 4 9]	499
1	f2	1708.0788963491614	0.12027199999999993	[8 9 0 5 1 2 3 6 4 7]	57
1	f1	1421.6868749814091	0.11749999999994998	[5 6 4 7 8 9 0 3 2 1]	310
1	f3	2238.6575889172664	0.11437600000004977	[3 0 2 7 6 4 1 5 8 9]	496
1	f2	1421.6868749814091	0.10852199999999357	[4 6 5 1 2 3 0 9 8 7]	119
1	f1	1421.6868749814091	0.10960899999997764	[0 9 8 7 4 6 5 1 2 3]	45
1	f3	2151.567268579366	0.11567700000000514	[3 9 7 8 0 4 2 1 5 6]	498
1	f2	1708.0788963491614	0.10860300000001644	[0 5 1 2 3 6 4 7 8 9]	38
1	f1	1421.6868749814091	0.10844000000003007	[6 4 7 8 9 0 3 2 1 5]	223
1	f3	2479.1380765417516	0.11458799999996927	[5 4 1 9 8 7 6 3 0 2]	499
1	f2	1421.686874981409	0.10966999999999416	[8 9 0 3 2 1 5 6 4 7]	150
1	f1	1421.6868749814093	0.1119539999999688	[4 7 8 9 0 3 2 1 5 6]	82
1	f3	2661.867308418153	0.12513500000000022	[3 1 2 7 4 8 6 0 5 9]	499
1	f2	1421.686874981409	0.11989499999998543	[8 9 0 3 2 1 5 6 4 7]	54
1	f1	1421.6868749814091	0.10909600000002229	[2 1 5 6 4 7 8 9 0 3]	407
